order_id,customer_lat,customer_lng,seller_lat,seller_lng,distance_m,duration_s
4e3c64d86c6701af13d8d0e899dd6b1c,-15.8159761428833,-47.90732955932617,-22.889982428917516,-47.19897993527926,917873.3,37709.7
dde56e42843e19685d241a25e192184e,-4.566714234352112,-37.76420398712158,-15.832786774635315,-47.94636745452881,2250647.2,102530.3
e1cbc1e8c3204aaecc891d1392f7b4d7,-22.551533753704874,-45.77857264136053,-23.681586901346844,-46.71207364400228,245733.6,11871.4
a5eedc7322bdedc26f0ae3106bb1d91e,-21.96983843629465,-46.77471616732999,-23.531424457376655,-47.134427612478085,234581.2,9687.3
d49132be94be94057aadb0fdd665943b,-22.751923243204754,-42.53355725606283,-23.547817412289707,-46.29562391801314,,
581e402f36b377643fce426a28dc17e4,-16.747019044284162,-49.20131696503738,-22.614621035820615,-46.709593409985565,873948.1,35139.6
2c833074fc9fbb5d8c24ec212ce02bff,-8.239780902862549,-40.332570711771645,-29.687804274237042,-51.46796400064058,3541009.6,166038.7
e41e7842fa15d821ce598a8b80915cd8,-23.54053879747487,-46.317949622568456,-23.609525931508916,-46.48016377499229,24658.2,2289.9
77bebd4675a69e173b4fc0b4cbc38ae4,-22.762874087771856,-47.62836992418444,-23.69101322719029,-46.703810119628905,175641.9,7203.5
c7b1a19d2ae06ca24586ea3d67fb4f38,-22.98392348438144,-43.20710168010611,-22.27524893372147,-48.54358454103823,702130.0,28628.8
025321e4e9674e090b7bc101f9c5ab5a,-23.984858386249464,-46.30206992121653,-25.456933866228376,-49.30945510864258,404339.1,20674.5
5e5c29987bbb83ed38c9b25a753f978f,-22.953082264129527,-43.18924537180094,-23.53624634890212,-46.66166506108549,439012.3,18873.6
3faacd4730227be7088bc1bfe4878627,-18.86129212812944,-41.96582391912287,-24.008923153142554,-46.41912520255927,967862.2,48102.7
858d0cd014b03937ba15cb012ad42277,-23.629487078240576,-46.52414772358347,-22.88930315250973,-43.30454045577015,438348.6,18934.3
461873d21418f4a79f9c7d6d8a866a0a,-19.82256884117649,-40.271083204713584,-21.757320637469526,-48.82974365874604,1267068.6,62645.3
bb45e059db1abcd5cedfdacadc9abd5e,-23.596233422939594,-46.73045187730055,-23.52785841623942,-46.534242947896324,37974.5,2464.9
4f8c25939ba36d08d148252e8b3846f1,-7.114710793203237,-34.855616238652445,-23.54339433223643,-46.262085610247674,2781298.2,133231.8
b19169c7cb8391fb8561e094d61c531a,-19.92610400509774,-43.96623475965985,-23.511511440934807,-46.484294102109715,580089.8,27303.7
e90eebea41d76d0c1dbc1253391ca5d3,-23.428319684390363,-51.95833419931346,-25.49249470359401,-49.23598676982679,435094.3,20905.7
a46a206fc9bc06abda01c55cfc97117d,-23.36066576639811,-47.81458990308973,-25.367475141327958,-49.18419923453495,413588.3,21626.6
ec7cf5f129c87b44a31239380516ae8c,-23.95177004337311,-46.40814027786255,-22.32247404618697,-49.029340744018555,388653.0,15824.8
f8bbef6f308acd23949b5560c282ede9,-22.893848252296447,-47.06133718490601,-19.8694950673998,-43.95094399599685,582981.6,26322.3
f66b2f5f778a4ba2ab4b97679dd30f64,-24.940655822753907,-53.46979990641276,-25.469973591395785,-49.307372147696356,501613.9,24485.2
8572811ca6f313e1da609f4728ff2612,-23.553927490927958,-46.30691067088734,-23.445104363846454,-46.374469652567825,18149.0,1703.7
1a1aa9714d0f88e8a2b20b0c7c037d0b,-22.245906410447088,-43.70711056582899,-23.539657397147938,-46.6318844526242,374903.9,17017.8
d8eada63874f4ad83911e6c388521ba9,-22.984663939112938,-43.19252844873419,-20.806706930461683,-49.38916460194982,850942.6,34655.7
c26ab0b30d07987314b27778194f020b,-20.33592553572221,-40.38995419126569,-23.59549856185913,-46.55972739628383,873448.8,44448.1
7cba130d7fd9cbf1fa889eaaf7c89d29,-23.633210543928474,-46.63827705383301,-20.29330849647522,-50.25631809234619,564621.6,22295.0
a31cd1f2ccad0246f0517f09035a1d36,-29.689436589697454,-53.79833265965087,-29.17266955971718,-51.210729122161865,295284.7,16857.6
c2bce329663d32641334c53c60a3a1a5,-27.43268575166401,-48.46585722614948,-23.493719175264435,-46.546189097615034,738602.8,34602.3
c73399c02f2f40ed90801855d7c6ecae,-20.33904376782869,-40.309097591199375,-23.21174642774794,-46.76287497414483,920820.6,47188.7
9f2c42d6f142a06f2c575576ad53adb3,-23.445068796475727,-51.97713073094686,-23.387644945341965,-51.95519372348128,8307.5,853.7
fe9dfb5a8e406ad9ebccdae758e0bdaa,-22.164289801209062,-43.292219992037175,-22.26258409526986,-46.171123934463715,420011.4,20518.5
f605124d27f2e57fff4d4555277d0dbd,-23.72576663607643,-46.68743076021709,-21.757320637469526,-48.82974365874604,363667.9,16188.9
7c090db969b7b59bfae10b91355cd5dc,-22.88659336364347,-43.267834108639384,-22.368024641892006,-48.386262064966665,682449.2,28182.8
1d43ba66c2170cd8c67e694e5c0e41d8,-22.92899959788603,-43.181450271606444,-23.577346937997,-46.559954507010325,435875.0,19016.3
007bbb40c95870c0f75a7855f2636c65,-23.65157310779278,-46.60268255380484,-23.508643562729294,-46.605294923524596,20352.5,2028.5
d0d830a8144f1cb10439b520ea3327cb,-26.095452156292616,-49.788178189971745,-23.659363627433777,-46.52318332195282,555813.6,25477.3
9aba484676dd70457681a3301c222d9f,-23.559558391571045,-46.63503222995334,-22.889982428917516,-47.19897993527926,108055.8,4521.6
08c72944eaad657c973c51fba479d655,-23.96845601529491,-46.3054702914491,-23.751737594604492,-53.3007296209466,878894.8,36664.8
7877ed505dd8f07c03e570b146b1fbae,-23.515459242321196,-46.48182187761579,-21.757320637469526,-48.82974365874604,357931.6,15890.4
fe1e111fae7024187f42e73aecff899d,-23.52866989135742,-46.49566497802734,-20.437204874918134,-44.76203404500813,484839.9,22625.3
4ebed5a2d80995d747c4f4728007b406,-18.12605883280436,-42.98822987874349,-22.593650727044967,-48.79966233268617,,
b1b6c6679301e883c54342f1610a5360,-19.89027759327608,-43.999366505940756,-23.486111551737615,-46.36672081707193,598768.5,28190.5
bb2e64c3040ceb9b7ca2bfc602adca08,-23.96522723458754,-46.343581269329924,-23.556190819575868,-46.56912875997609,73387.6,4777.8
61074c7948c09364b80e2f7da862780c,-23.54580430984497,-46.83882336616516,-22.857990068746798,-47.053051008400345,108422.0,4378.7
5f43a6b640128ff1e1a7fcc6872ebf71,-19.931855617336943,-43.93264744984521,-23.382472154570788,-51.927966466764126,1093449.4,49146.2
a8d2e3eaad4ea714202c0dd853cca757,-19.884900470832726,-43.664952934562386,-21.757320637469526,-48.82974365874604,732840.3,33141.6
4b4a6837149161d336cba6c3816f376e,-23.522455464238707,-46.655253285947055,-21.757320637469526,-48.82974365874604,340290.6,14712.7
a83c50dc6af9424ae926506ebac55807,-22.84606477123196,-43.31053544383938,-25.430144119262696,-49.2853199005127,824366.7,37081.4
d4eff8d7652db5a92efaf867550013ca,-22.79835096219691,-43.43475034760266,-23.69118293126424,-46.67958418528239,422080.9,18978.7
69f1e4d5709c13914c309652f82319f8,-23.565734525521595,-46.641478300094604,-23.468174990485696,-46.72025366390453,17604.5,1774.6
225c2d5256f969a58d04909cccbdbed0,-12.288099357060023,-55.296990349179225,-23.457633809840427,-46.650404909823806,1984989.7,93821.8
eb64b58a232837a289266be299ae35c9,-23.009474944260162,-43.33453034546416,-23.510921771709736,-46.859923329386675,471978.8,20366.1
87d65accbbf482b8a87bd13bb444cf6d,-22.76083895401832,-43.45665066563298,-21.86603244332706,-47.47810177522547,589595.4,24264.7
21d032917e4ed1476f16ce92d0d8fdd4,-23.17953152126736,-47.313383632236054,-20.806706930461683,-49.38916460194982,367009.7,14720.7
9ef657cb5874904c5d3a1a46faeefd7d,-23.527589975401412,-46.675692890965664,-23.556190819575868,-46.56912875997609,15110.5,1194.1
1daecbe2a13ab0881c418e978f1e08c1,-23.224503334363302,-45.887842909495035,-23.483894670513315,-46.69775922533492,96882.6,4475.2
d3c64cf55752f7821e85e7ea9b9b3f30,-20.420269780511024,-49.97168368141123,-23.587565667518582,-48.04486871067482,504059.8,20369.3
21746a2a0ab90a9d0916af6e1026fd24,-19.959986479824813,-44.17124355659283,-23.643527206109496,-46.66280941087373,571705.4,26826.6
64793ed51799074a85ec8bc4b3e365e6,-30.854063611802225,-51.808535089136655,-29.723802653225984,-53.17918656089089,276369.6,16940.0
